context,answer,label
"**Вы:** Что рисуешь?

**Собеседник:** Я вот что тебе сказать хочу, когда работать начнёшь, не экономь на машине, бери надёжную, потому что надешевую больше уйдёт денег на ремонт.
Рисую?😅.

**Вы:** Это понятно что не на чем не надо экономить.
Ну фрилансером же работаешь.",А что ты делаешь сегодня?,ai
"**Вы:** А Вы?

**Собеседник:** Кем работаете?

**Вы:** инженером.","О, коллега. Я инженер-наладчик коммуникационных систем.",people
"**Вы:** Тоже думала на юрфак, в итоге подалась в программистыи бросила.
Пока нет, учусь😄.
Но скоро буду гонять.
А сколько тебе лет?

**Собеседник:** 38.

**Вы:** Уже женат?","Нет ещё, а ты предложение решила сделать?)",people
"**Вы:** А чем ты занимаешься в свободное время?

**Собеседник:** пытаюсь наладить личную жизнь, завести семью, родитьдвойняшек.

**Вы:** А как тебя зовут?",Алина. А у тебя какие планы на будущее?,people
"**Вы:** Челябинск.
А ты любишь ходить в театр?
Ты ещё здесь?

**Собеседник:** Здесь.
В театре не был.

**Вы:** Класс👍.",А как насчет кино?,people
"**Вы:** Я тоже раньше думал, что возраст это черта, пока непобывал на свадьбе родителей, это было что- то.

**Собеседник:** Хохо, а то. На свадьбе то как не покутить.
Люська только, жена моя, ругается все: уж больно злится, когда выпью лишнего.

**Вы:** Да, особенно когда все родственники впервые вместесобрались. Я жил в Индии последнее время и был радтакому поводу навестить родителей.",У тебя есть семья?,people
"**Вы:** Ну награды есть. 🤗.

**Собеседник:** А ты работаешь где нибудь?

**Вы:** Интересная у тебя работв.
Пока что спорт моя работа.","Да, спорт - это моя страсть и работа в одном лице.",ai
"**Вы:** Больше люблю заниматься спортом, когда есть свободноевремя. И люблю смотреть телевизор. Летом хочу поехатьна море.

**Собеседник:** Море это очень хорошо) Каким видом спорта занимаешься?

**Вы:** Плавание, катание на лыжах, бег по утрам. Профессиональноне занимаюсь.",Но я люблю просто гулять на природе и наслаждаться красотой природы. А еще я,ai
"**Вы:** Ну если Шаурма это корейская кухня, то у нас многообщего, я люблю шаурму ахаха.

**Собеседник:** Шаурма, не совсем.
Хочу купить Виар.

**Вы:** Виар очки?","Хм, да. Я хочу купить очки для чтения.",ai
"**Вы:** Слушаю Бузову.
Я домохозяйка люблю котиков.

**Собеседник:** Люблю играть в карты и показывать фокусы.
Ещё люблю жизнь.
У тебя есть мечта?

**Вы:** Я ищу общение, так как я в разводе.
Да хочу найти мужа.","Поверь, искать мужа не большая необходимость, разве после развода не охота пожить для себя?",people
"**Вы:** Работа ещё эта ... Надо после отпуска в город ехать. Дворник я.

**Собеседник:** Или к психологу сходи. я ходила- зеркал боюсь до паники. помог очень.
Тяжело конечно с такой работой .... и платят небосьгроши?

**Вы:** Дети взрослые все... Надеюсь в них отрада будет.
Да да! Все надоело.",не могу больше терпеть. Устала уже от этой работы. Не хочу,ai
"**Вы:** Ну и зря.

**Собеседник:** Я стиральные машины люблю.

**Вы:** Животных любишь?","нет, я  больше люблю машины. У тебя машина есть?",people
"**Вы:** Садоводством ещё увлекаюсь).

**Собеседник:** ой, я тоже очень люблю цветы.

**Вы:** Гуляю по городу.",У нас в городе много красивых парков и скверов. А у вас есть,ai
"**Вы:** прикольно.
у тебя есть мечта?

**Собеседник:** но пока не могу завести ее себе, хоть и очень мечтаю.

**Вы:** у тебя есть мечта?","Конечно, у меня есть мечты! Я мечтаю о мире без насилия и конфликтов, где каждый может быть счастливым и свободным. А еще мечтаю путешествовать по всему миру и попробовать все кухни разных стран.",ai
"**Вы:** Я хожу в школу еще. Люблю математику.
А ты чем занят?

**Собеседник:** Я вот в пятёрочке менеджером работаю, коллекционируювазы.

**Вы:** А я сейчас читаю Гарри Потера.",а хобби у тебя есть?,people
"**Вы:** на третьем уже.
тебя как зовут?
расскажи о себе.

**Собеседник:** Твоя студенческая жизнь куда интереснее, чем моя.Я домохозяйка. Сижу дома- воспитываю двух детей. Аты небось каждый день развлекаешься?
Меня Марина зовут кстати.
Есть девушка?

**Вы:** Да, развлеченье это мое второе имя 😂. По этому и друзеймного. Люблю общаться ).
Девушки пока нет)).
у меня слишком активный образ жизни для серьезныхотношений )).",одно другому не мешает,people
"**Вы:** Эх, подарки еще не купил, да и некому- у меня толькосын, я его поздравил на 23е февраля. Кстати ему скоро7 лет.

**Собеседник:** взрослый,уже школьник.

**Вы:** Ого, да вы спортивная девушка! София, а давно вы увлекаетесьспортом?",да.еще в школе ходила в секцию,people
"**Вы:** Бухгалтер.

**Собеседник:** А хобби есть?

**Вы:** Мое хобби парикмахерская, люблю делать прически.
А ты?",А я люблю путешествовать.,people
"**Вы:** Ооо это вкусно;).

**Собеседник:** Очень хочу похудеть, но пиццу хочу ещё больше)).

**Вы:** Какие ещё есть хобби по мимо готовки?",ходить по кафе и рестикам,people
"**Вы:** Со многими такое случилось.

**Собеседник:** Можно жить с женой красавицей.
И радоваться улыбке твоих детей.
И как можно больше проводить с ними времени.

**Вы:** Да красавицам сейчас ты не особо и нужен без мерседеса.","Мерсеес не помешает, а еще яхта, дача на море и безлимитный счет. Но это не самое главное. Главное любовь.",people
"**Вы:** Я люблю фотографировать.

**Собеседник:** Классно) этому наверное трудно обучиться?
Что ты любишь фотографировать больше всего?

**Вы:** Да, я все время этому учусь.
Я люблю фотографировать котиков.",Они такие милые и забавные. А еще я люблю снимать красивые пейзажи.,ai
"**Вы:** Они очень быстро плодятся, могут съесть потомство, из- за такого разведения крыски рождаются мутантами, опухоли почти у всех.
Люблю, особенно в походы ходить) у меня дом в лесу, можно сказать турбаза для друзей) а ты?

**Собеседник:** Жесть, я и не знала. Спасибо огромное! Чувствую лучшезавести хомячка ))).
Я люблю отдых на природе с друзьями и играть в волейбол.

**Вы:** А хомячки не доживают до старости, очень глупенькие: D лучше крыс, но попарно и от проверенных заводчиков.",Можешь порекомендовать мне заводчиков?,people
"**Вы:** а я люблю слушать песни о любви я в душе романтик).

**Собеседник:** В 20 это здорово быть романтиком))).

**Вы:** А как зовут твоего карапузика?",- спрашивает моя знакомая.,ai
"**Вы:** Да, я учусь в первом классе.

**Собеседник:** уххх.
у тебя еще всё впереди.
кем хочешь стать?
или увлечения какие-то есть может быть?
я прям с первого класса хотел быть врачом.
я аллергик и с детства меня по врачам таскали.
они меня восхищали своим терпением.
особенно, когда всякие бабули наглые ломятся мнетолько спросить.

**Вы:** Я люблю животных. У меня есть собака. Думаю что хотелбы заниматься с животными.",Как ты относишься к собакам?,ai
"**Вы:** А я рисовать люблю) портреты особенно).

**Собеседник:** Клёво! Может как- нибудь меня нарисуешь? С попугаемна плече :))).

**Вы:** Почему бы и нет)).","Конечно, с удовольствием нарисую тебя с попугаем на плече!",ai
"**Вы:** Молодец, если б я стал депутатом, я б повысил всемучителям зп.
У вас адский труд.
Я сам на такси работаю, что б не сидеть дома с домашними.
Дети мне все мозги выносят.

**Собеседник:** Да нам то что, главное что бы школы хорошие были,я своих троих оболтусов отпускать боюсь, не дай Богштукатурка на голову упадёт.

**Вы:** А жена у меня красавица.",Как она тебя выдерживает с такими детьми и работой?,ai
"**Вы:** Да, очень! Плюсы иметь свою компанию и налаживатьмеждународное сотрудничество.
Главное начать;).

**Собеседник:** Согласно, как начну, так сразу пойдет.
Кто ты по гороскопу?

**Вы:** Правда, жаль что на встречах приходиться быть в костюме, а так бы на велике ещё и по городу ездил).
Лев).
А ты?","А я рыбы. Успешные люди могут и на велике приехать. Ну и какой ты похарактеру, лев?",people
"**Вы:** Спасибо.

**Собеседник:** составляем сметы для продуктовых магазинов.

**Вы:** Я не люблю одиночество - это скучно.
А семья у вас есть?","Пока нет. Я в свободном поиске, как говориться.) А у тебя есть?",people
"**Вы:** Хирург.
Тоже тяжело, но по крайней мере нормальная зарплата.

**Собеседник:** О, ответственная работа какая !!! Жизни спасаешь-круто !!!!

**Вы:** Мне на семью хватает.",А я на работе по 16 часов в день!,ai
"**Вы:** Спортом да, плаванием Там я нашел новых друзей Вообщея очень общителен, да и всегда выслушаю.

**Собеседник:** А я занимался карате лет пять назад. Сейчас забросил. Понял, что не моё это. За то сейчас учусь игратьв шахматы).

**Вы:** Это хорошо, значит умеешь логически мыслить А я неумею в шахматы играть, вот шашки это да, люблю.",А мне вот шашки как-то не очень. Постоянно проигрываю.),people
"**Вы:** Ну да.

**Собеседник:** Чем ещё увлекаешься?

**Вы:** В основном автомобилями.",Я люблю ездить на машине и наслаждаться красивыми пейзажами за окном. Кроме того,ai
"**Вы:** Молодой ещё? Или судьба так распорядилась?

**Собеседник:** Молод, развиваю свой бизнес).

**Вы:** Что за бизнес? Если не секрет.",В сфере финансов.,people
"**Вы:** Я Наталья😊.

**Собеседник:** Чем вы занимаетесь?

**Вы:** Оооо! У меня много дел😂.
Дом, семья, работа!
А вообще я страховой агент.
А вы?","Я работаю в креативной сфере, занимаюсь дизайном и иллюстрацией.",ai
"**Вы:** Поваром работаю) обожаю готовить.

**Собеседник:** ты повар а я клоун)))).

**Вы:** Кухня это моё, с детства там.
Мы отличная пара).","Да, мы точно отличная команда!",ai
"**Вы:** 👍.
Я приболела(.
Сейчас дома сижу.

**Собеседник:** И мужу тоже надо-охранник же.

**Вы:** Понятно.",А ты?,ai
"**Вы:** Один покоряешь ?) или с семьёй) Да, рисую с самогодетства!

**Собеседник:** Вроде один))).

**Вы:** И готовку мою все хвалят Пока никто не умер 😂 тьфутьфу тьфу !!!
даже без собачки или кота?).",не котейко есть,people
"**Вы:** мне тебя жась.
жаль.

**Собеседник:** Но я не жалуюсь😂.

**Вы:** тоже с ними имела дело.
ты веришь в нло.
?","Нет, только не говори, что ты веришь.",people
"**Вы:** Это очень плохо.
На самом деле у меня тоже нет друзей, но зато у меняесть ребенок.

**Собеседник:** Вот на днях буду день рождения отмечать.

**Вы:** А ты любишь читать?
С наступающим тебя.","У меня есть книга, которую я читаю каждый день. Она называется ""Мал",ai
"**Вы:** Мечтаю о красивой любви).

**Собеседник:** Животные есть?

**Вы:** А у тебя есть желания, мечты?","Конечно, у меня много мечт и желаний!",ai
"**Вы:** Детей у меня нет, но есть кот финик.
Детей у меня нет, но есть кот Финик.
Я люблю изучать языки, знаю 7, но на этом не останавливаюсь.

**Собеседник:** Круто).
А какую музыку любишь?

**Вы:** И в перерывах хожу в зал, чтобы поддержать себя вформе.
Классическую.",Классика это круто. Наверное и театры тебе нравится? Мне тчень!,people
"**Вы:** Ты любишь музыку?
Я вот играю на веганской гитаре.

**Собеседник:** Да.

**Вы:** Супер.","Круто, я тоже люблю музыку! Какие жанры тебе больше всего нравятся?",ai
"**Вы:** Незабудки- это даже круче, чем розы, не так раскручено).
А я на дачу только на шашлыки езжу, там подарки( родныев смысле) и без меня справляются .. Шашлык из курицылюблю, сам сварганить могу ..
Родаки, а не подарки.. вас тоже Т9 достает?

**Собеседник:** Ну на природе хорошо всегда. Чистый воздух. Большелюбишь куриный шашлык или свиной?
Нет, я бабка продвинутая, пишу всегда точно)).

**Вы:** А я спешу всегда..",Зато иногда можно посмеяться над слишком несуразными текстами подобранными Т9,people
"**Вы:** Да, хочу строительную фирму открыть.
А ты любишь животных?

**Собеседник:** О даа. У меня кошка дома. Мечтаю о собаке, но боюсьне подружаться.

**Вы:** Я тоже очень кошек люблю, но своих кошек нет у меня.","Ой, а почему нет?",ai
"**Вы:** Меня тоже Аня зовут, я художница)) мне 29.

**Собеседник:** Тезка).
Какие у тебя увлечения?).

**Вы:** Именно).
Ну я люблю путешествовать, стараюсь немного это делать).
Иногда много получается,иногда не очень.
А у тебя?",)),ai
"**Вы:** Я тоже, а как насчёт спорта?
Я люблю пробежки.
Нет, животных, а у тебя?

**Собеседник:** К сожалению я особо не люблю спорт.
У меня есть кот, зовут барсик.

**Вы:** А что коллекционируешь? Я афтографы.","Я не коллекционирую ничего конкретного, но люблю путешествовать и собирать воспоминания.",ai
"**Вы:** Не все. Много чем хотелось заняться. Например, музыкой. До сих пор жалею, что не получила музыкальное образование. У мамы просто не было возможности.
На хобби нужны деньги и время.
Люблю творчество. Делала дома всякие подделки, вырезалаиз бумаги, прокачала навык рисования.

**Собеседник:** Да, поддержка родителей очень важна!

**Вы:** Не всегда есть возможности.
Но такова жизнь).
Ты откуда?","Красноярск,тайга у нас просто восхитительная.",people
"**Вы:** забавно полкучится, если мы работаем в одной и тойже компании 😄.

**Собеседник:** Комнату снимаю, кактус с собой привез.
Я в московской области, а ты?

**Вы:** кактусом женщину не заменишь, это точно )) а что жты не найдешь себе спутницу жизни ?)).",да пока все не везет!вокруг не те,people
"**Вы:** Оооо, тортики ❤️ я инструктор по фитнесу ).
Поэтому стараюсь питаться правильно и готовить полезныетортики ☺️.

**Собеседник:** Мы не толстеем, поэтому лопаем любые тортики)).
Я врач. Но пока не работаю.

**Вы:** Здорово! А какая именно специализация ?",Стоматология,people
"**Вы:** Вы водите машину?

**Собеседник:** Да,а вы?

**Вы:** Да.","Да, я вожу машину. Это очень удобно, особенно когда нужно быстро добраться до места.",ai
"**Вы:** Так нужно признаться ему в своих чувствах.

**Собеседник:** Я очень стеснительная.

**Вы:** Так напиши ему письмо или вырази это в стихах.","О, я бы с удовольствием написала ему стихи!",ai
"**Вы:** У тебя есть животные?

**Собеседник:** Нет , а у тебя ?

**Вы:** У меня ёжик.
Я ещё конным спортом занимаюсь.",есть успехи в конном спорте?,people
"**Вы:** Рэп- это интересно. Ритмичная музыка- под неё удобнобаланс сводить.

**Собеседник:** Не много о себе: люблю есть бургеры, есть домашнееживотное зовут Костя мой маленький бульдог).
Да, полностью с вами согласен.

**Вы:** Разве и этому учат?!","Нет, просто это моё хобби.",people
"**Вы:** Я ищу спутницу по жизни.

**Собеседник:** Сколько тебе лет.

**Вы:** Ты любишь здоровый образ жизни?
Мне 35.
Не люблю девушек которые курят и пьют.",Люблю заниматься спортом и питаться правильно. Но не могу жить без общения с друзьями,ai
"**Вы:** Покатаемся ?).

**Собеседник:** Какая у тебя машина.
?!

**Вы:** Тайота лэнд крузер прадо.
А у тебя есть?","У меня нет машины, но я люблю путешествовать на поездах и автобусах.",ai
"**Вы:** это печально...

**Собеседник:** Скорее бы весна, а то ношу только юбки.
А сейчас холодно (.
Кстати, ты купишь?

**Вы:** да пока ничем, пересматревал тексты, в промежуткемежду работой.","Но я надеюсь, что скоро будет тепло и солнечно!",ai
"**Вы:** Эх, жалко. Довольно. Каждый день видишь много людейиз разных стран.
У тебя есть вторая половинка?

**Собеседник:** Я очень хочу слетать куда- нибудь к морю, пока нетвозможности.
Нет, а у тебя?

**Вы:** Надеюсь у тебя все получится. У меня было три жены. Но понял что счастье не в них.",А ты любишь путешествовать?,ai
"**Вы:** Они ещё маленькие в садик ходят.

**Собеседник:** Что на заводе делаешь?

**Вы:** Я сварщик.",Учусь. А ещё учусь на токаря.,ai
"**Вы:** Какие жабы на вкус?

**Собеседник:** Что жаль?

**Вы:** Не ела такое).",Я тоже не пробовал. Но змей кушал. Мне не очень понравилось. ,people
"**Вы:** Синтвейв, техно) а кто такой Дима бамберг?

**Собеседник:** музыкант, ранее известный как Shokk.
Schokk*.

**Вы:** Значит, ты по рэпу?).",Еее,people
"**Вы:** Сочувствую (.

**Собеседник:** Спасибо.
Пойду поработаю. Приятно было пообщаться!

**Вы:** Думал в спорт пойти когда то, быстро бегаю ).","БЕг-залог крепкого здоровья, нужно продолжать этим заниматься.",people
"**Вы:** а вы любите животных.

**Собеседник:** да очень.

**Вы:** приходите ко мне на чай.",А с чем будет чай?,people
"**Вы:** Что ты любишь? О чём мечтаешь?
Ну мне с животными помогают сын и дочка.
Сейчас готовлюсь осуществить мечту.

**Собеседник:** Я женщина семейная, у меня муж и дочка пяти лет, временина мечтания и досуг не так уж много.
О, у вас  тоже есть дети, классно.

**Вы:** И поплыть в море, которое безгранично люблю, не какматрос- а уже как капитан.","Вау, звучит круто! Я тоже обожаю море и всё, что с ним связано. Как давно ты мечтаешь стать капитаном? И какие шаги ты уже предпринял, чтобы осуществить свою мечту? Я уверена, что ты сможешь достичь своей цели, если будешь настойчив и упорен. Может, я могу чем-то помочь?",ai
"**Вы:** Мужа*.
))).

**Собеседник:** тем более у меня дом в лесу.

**Вы:** Оооо.
В лесу.
Супер.",Тебе нравится лес?,people
"**Вы:** чем еще занимаешься?

**Собеседник:** Да так, много чем. У соседей за кошками смотрю иногдасвою привожу поиграть.
С друзьями иногда гуляю.
А ты?

**Вы:** помнишь формулу S=пr2?","Ну ты спросила, нет конечно. А чего это ты про формулы вспомнила?",people
"**Вы:** Хе.
А мне нравится девочки.

**Собеседник:** зто у меня котик есть.
о
есть девушка?

**Вы:** И.
Да.",Котики это здорово!,ai
"**Вы:** Приятно познакомиться Жень) Учусь, это уже второемоё образование, ахах, люблю учиться и развиваться).
А ты чем занимаешься?).

**Собеседник:** Классно, а я работаю. Я врач стоматолог.
На какого учишься?

**Вы:** Вау здоворо, мой брат тоже стоматолог какое совпадение)) На дизаонера).","Здорово, у меня близкий друг работает дизайнером, и часто ходит ко мне на приём))",people
"**Вы:** Нет, не нашёл ещё ту единственную.

**Собеседник:** Ну это действительно непросто. Найдёшь обязательно, может и не одну, как я ))).

**Вы:** Поэтому не тороплюсь.","Может быть, когда-нибудь и найдётся та единственная, которая будет соответствовать",ai
"**Вы:** Да,котов).

**Собеседник:** А я собак.

**Вы:** Но у меня сейчас никого нет(.","Ну и хорошо же, меньше грязи))))",people
"**Вы:** В какой сфере трудишься?

**Собеседник:** Я секретарь. работаю сейчас в офисе .. прихожу поздно(.
А ты где работаешь?

**Вы:** Я работаю плотником, тоже приходится задерживатьсяна работе, но скоро отпуск, вот тогда наконец появитьсявремя сходить на рыбалку. Ты любишь рыбачить?","Вы (смеясь):** Да, я люблю ловить",ai
"**Вы:** О дааа, красотки:) А ты чем по жизни занимаешься?

**Собеседник:** Программист Делфи скл и всякое.

**Вы:** А я слесарь:))) В компах знаю где вкл и выкл.",А вот программист нет.,ai
"**Вы:** Провожу время со своей семьёй.
Женой, детьми.
А ты?

**Собеседник:** Тоже,у меня дети есть.
Василиса и Андрей.
В школу скоро пойдут.

**Вы:** Красивые имена.","Да, у тебя очень красивые имена детей.",ai
"**Вы:** Люблю читать и слушать музыку, но надо отвлекатьсяна работу бармена :(.

**Собеседник:** А на выходных что любите делать?

**Вы:** Встречи с друзьями) а ваши выходные как проходят?",Слушаю музыку и смотрю фильмы),ai
"**Вы:** Зато хоть пицца бесплатно, ага и так каждую свободнуюминуту на улицу к морю 😍.

**Собеседник:** Оо, это круто.
Мне пицца тоже по душе.

**Вы:** А ты,чем увлекаешься?","Я люблю заниматься спортом, особенно йогой и плаванием.",ai
"**Вы:** Я придерживаюсь позиции всё в твоих руках.
Какой курс, специальность?

**Собеседник:** согласна, поэтому стараюсь на учебе, только отлично уже на пятом курсе, судебный эксперт.
а какой ваш любимый писатель?

**Вы:** Конкретно кого- то назвать не могу, но нравится русскаяклассика.",А из современных есть предпочтения?,people
"**Вы:** Ух ты здорово, я тоже люблю сладкое, но из горячего- обожаю пиццу.

**Собеседник:** Да пицца не плохо, мне нравится ее готовить.

**Вы:** Ну а после пиццы можно и конфетки поесть с соком,сок я тоже люблю, он очень вкусный.","Ага, сок это просто находка, особенно в жаркую погоду. Я обожаю лимонад, но только свежевыжатый, без консервантов и красителей. А ты какой сок предпочитаешь?",ai
"**Вы:** У меня брат тоже юрист).

**Собеседник:** О, танцы это же так прекрасно) какими танцами тв занимаешься?

**Вы:** Бальными) мне очень нравится, как по мне это оченькрасиво.
У тебя есть домашние животные?",ага котик,people
"**Вы:** круууто.
а я продавец ,и у меня есть свой ларек.

**Собеседник:** даа, люблю свою работу.

**Вы:** я продаю разне виды сыров.","Прекрасно, заниматься собственным бизнесом.",people
"**Вы:** Занимаюсь любимым делом- делаю из дерева оригинальнуюмебель.
Ух ты, у нас профессии творческие ).

**Собеседник:** Вау, у нас почти смежные работы.
😂.
О чем мечтаешь?

**Вы:** Я тоже решил заняться тем, к чему душа лежит. Раньшегнался за деньгами- вон в депутаты даже баллотировалсяпо молодости).","А теперь я хочу создать что-то уникальное и интересное. 
Как",ai
"**Вы:** Гитара.
Люблю гитару.

**Собеседник:** Правда? А сама умеешь играть?

**Вы:** Особенно, когда собираемся с друзьями в лесу, чторядом с домом, разводим костер и кто- то начинаетиграть.
Обожаю такие моменты!
Сама, только 3 аккорда😃.","Это здорово, что ты умеешь играть на гитаре!",ai
"**Вы:** Буду рада).

**Собеседник:** Как зовут твоих детей ?

**Вы:** Виталий, Марк и аврелий.
А твоих?","У меня пока нет детей, но я мечтаю о троих: двух мальчиках и девочке. Я уже даже придумала им имена: Александр, Даниил и Анна.",ai
